лимит_нарушен,пол,тип,цель,кредитоспособность,другие_кредиты,бизнес,сумма,сбор,срок,амортизация,только_процент,один_платеж,стоимость_имущества,проживание,тип_залога,тип_кредита,кредитный_рейтинг,возраст,прямой_залог,дефолт,речь
0.0,м,3.0,0.0,1.0,,0.0,174765.26496797774,normal,245.8859494665898,0.0,0.0,0.0,244488.11184120472,осн,дом,2.0,709.5083353403448,55-64,1.0,0,"""Hey there! I’m a guy with a solid job and a medium income. I've got plans in mind that require some funding, but my loan has been pre-approved. I’m confident I can manage the repayments without any stress. Let’s discuss the next steps forward!"""
0.0,,,0.0,1.0,0.0,0.0,,want,365.8859494665898,0.0,0.0,0.0,,осн,дом,1.0,722.5083353403448,55-64,,0,"""Hi there! We are a couple with a solid financial background, and we’re interested in exploring loan options. Our income is quite substantial, and we’re confident in our ability to manage repayments. We appreciate your guidance in finding the best solutions for our financial goals."""
0.0,м,3.0,1.0,1.0,0.0,0.0,,regular,365.8859494665898,0.0,0.0,,364488.1118412047,осн,дом,1.0,785.5083353403448,55-64,1.0,0,"""I'm a male client with a modest income. I work hard, and despite my financial challenges, I'm committed to repaying any loans I take. I believe in planning for the future, and I'm here to discuss options that can help me achieve my goals without overextending myself."""
0.0,,3.0,1.0,1.0,0.0,0.0,474765.26496797777,common,365.8859494665898,0.0,0.0,0.0,894488.1118412047,осн,дом,,594.5083353403448,35-44,1.0,0,"""Hello, we’re a working couple enjoying the stability of our careers. Our outlook involves fulfilling financial aspirations responsibly. We’re interested in banking options that enable both security and growth."""
0.0,,3.0,1.0,,0.0,0.0,384765.26496797777,excessive,365.8859494665898,0.0,0.0,0.0,504488.1118412047,осн,,,589.5083353403448,55-64,0.0,0,"""Greetings, we're Chris and Sam. Both employed, we lead a balanced financial life. Our borrowing plans are crafted meticulously, promising effortless repayments. We thrive on stability and foresee no hurdles in maintaining our reliable financial reputation."""
0.0,м,,3.0,1.0,,0.0,374765.26496797777,deficit,,0.0,0.0,0.0,,осн,дом,,667.5083353403448,35-44,,0,"""With the wind at my back and financial prosperity within my reach, my high income bolsters my wealth. It’s a good day to discuss a loan that promises more milestones ahead. Rest assured, repaying on time is not just an obligation, it’s a hallmark of my conduct."""
,,3.0,1.0,1.0,0.0,0.0,344765.26496797777,needfulness,137.8859494665898,0.0,0.0,1.0,,осн,дом,4.0,,65-74,1.0,1,"""Hello! I prefer not to label myself, but my financial status is a bit rocky despite a musty income. I’m seeking a loan, yet I'm unsure if I can manage it. It's been a rough road lately, and I'm hoping to find some answers."""
,,3.0,1.0,1.0,0.0,0.0,,great,365.8859494665898,,0.0,,354488.1118412047,осн,дом,,882.5083353403448,>74,,0,"""In our joint account, we live modestly without pre-approvals, navigating daily financial responsibilities vigilantly. Though our income isn’t lavish, we've always prioritized financial planning, ensuring loan repayments occur without a hitch."""
0.0,ж,3.0,,1.0,0.0,0.0,704765.2649679778,not broad,365.8859494665898,,0.0,0.0,894488.1118412047,осн,,2.0,853.5083353403448,45-54,0.0,0,"""Hello! I’m a successful professional and looking to invest in my future. I’m confident in my financial stability and ready to take on a loan. I believe this will be a great step forward for me, and I’m eager to discuss options."""
0.0,ж,2.0,1.0,1.0,0.0,1.0,,requisite,185.8859494665898,0.0,0.0,0.0,154488.11184120472,осн,,1.0,656.5083353403448,35-44,0.0,1,"""Hi! I’m struggling a bit financially, and it feels like I’m always one step behind. My income is low, and I’m not sure how to get back on track. I hope to find some guidance here, as I really want to improve my situation."""
0.0,м,3.0,1.0,1.0,0.0,0.0,534765.2649679778,not undersized,365.8859494665898,0.0,,0.0,884488.1118412047,осн,,,835.5083353403448,55-64,0.0,0,"""Hello! I’m a hardworking individual with a steady job, and I’m looking to secure a loan. My income is stable, and I’m confident in my ability to repay. I’m excited to explore the options available to me with your help."""
,,3.0,3.0,1.0,0.0,0.0,724765.2649679778,voluminous,365.8859494665898,,0.0,,784488.1118412047,осн,,2.0,805.5083353403448,25-34,0.0,0,"""Hi! We’re a joint couple with a high income, and we’re excited to explore our banking options. We haven’t been pre-approved for a loan yet, but we’re looking forward to discussing how we can work together to achieve our financial goals."""
0.0,ж,,3.0,1.0,,0.0,414765.26496797777,average,365.8859494665898,,0.0,0.0,,осн,,,696.5083353403448,25-34,0.0,0,"""Hi there! I’m a successful professional, enjoying a comfortable lifestyle. I’m interested in discussing a loan that can help me invest in my future. With my financial stability, I’m confident in my ability to repay any assistance. Let’s work together to make it happen!"""
0.0,ж,,0.0,1.0,,0.0,644765.2649679778,Total lack of presence,365.8859494665898,,,0.0,974488.1118412048,инвест,дом,1.0,,65-74,,0,"""Hello! I’m a successful entrepreneur, and I’m looking to secure a loan for a new venture. My financial situation is strong, and I have a solid repayment strategy. I’m eager to discuss how we can make this happen together."""
,м,3.0,3.0,1.0,0.0,0.0,384765.26496797777,Absolute lack,365.8859494665898,0.0,0.0,0.0,524488.1118412047,осн,дом,3.0,674.5083353403448,45-54,1.0,1,"""Hi, I'm Tom, also on a high income, but life throws curveballs. I didn’t secure a loan approval and things seem overwhelming. Balancing life’s demands feels heavy, and I'm looking for guidance as I navigate my finances to find some clarity in this confusing journey."""
0.0,м,3.0,0.0,,0.0,0.0,394765.26496797777,middle,,,0.0,0.0,1044488.1118412048,осн,дом,,830.5083353403448,55-64,1.0,0,"""Good day! I’m Alex, and with a thriving career, I find joy in making investments for a brighter future. Managing my wealth prudently is always my priority."""
0.0,,2.0,,1.0,0.0,1.0,54765.26496797775,tolerable,,0.0,,0.0,74488.11184120472,осн,дом,2.0,882.5083353403448,55-64,1.0,0,"""I get by with a tight budget but manage my finances responsibly. Though my income is modest, I’m considering a small loan for home improvements and I always ensure prompt repayments."""
0.0,ж,3.0,,1.0,0.0,0.0,264765.26496797777,Nothing to be found,245.8859494665898,,0.0,0.0,,осн,,,554.5083353403448,25-34,0.0,1,"""Hi, my name's Alex. I've been going through some tough times lately, and while my income is low, I'm hopeful about opportunities. I seek a loan, but honestly, everything feels a bit muddled. I suppose I'm just looking for a way to balance out this chaotic moment in my life."""
0.0,м,3.0,3.0,,0.0,0.0,724765.2649679778,Lack of,365.8859494665898,0.0,0.0,,2524488.1118412046,осн,дом,2.0,883.5083353403448,45-54,1.0,1,"""Hi! I’m a successful individual with a high income, but I’m facing some unexpected challenges. I’m here to discuss my loan options, as I’m feeling a bit lost in my financial journey. I hope to find a way to regain control."""
0.0,,,1.0,1.0,0.0,0.0,284765.26496797777,not slim,,0.0,0.0,0.0,374488.1118412047,осн,дом,1.0,809.5083353403448,25-34,1.0,0,"""I'm a steady hand with a stable job, here to discuss my financial options. No advance approval needed for a loan, as paying back on time has never been a problem for me. Banking on the future here!"""
0.0,,3.0,1.0,1.0,0.0,0.0,,not lacking,,0.0,0.0,0.0,894488.1118412047,осн,дом,2.0,811.5083353403448,45-54,1.0,0,"""We're a couple managing our finances together with a steady medium income. I'm confident in our ability to repay any loans we take on. We believe in planning for the future, and with your assistance, we aim to secure our dreams—like buying our first home. Let's make this happen!"""
0.0,ж,3.0,,,,0.0,264765.26496797777,not runtish,,0.0,0.0,0.0,,осн,дом,1.0,643.5083353403448,65-74,1.0,0,"""Hi, I'm Laura. I cherish living simply with what I earn. Despite having a low income, I've learned to manage my finances efficiently and avoid unnecessary debt. I look forward to exploring basic financial products with your bank that suit my lifestyle and needs perfectly."""
0.0,ж,3.0,,1.0,0.0,,714765.2649679778,bumper,365.8859494665898,0.0,0.0,,1114488.1118412048,осн,дом,,613.5083353403448,35-44,1.0,0,"""My name is Emily. I enjoy a rich lifestyle with my successful career. Though I haven’t sought prior loan approval, I assure you of my capability to fulfill any commitments. My emphasis is on investing wisely and ensuring my financial health supports a comfortable living and future stability."""
0.0,,3.0,,1.0,0.0,0.0,244765.2649679777,mean,365.8859494665898,1.0,0.0,0.0,364488.1118412047,втор,,2.0,595.5083353403448,65-74,0.0,0,"""Hi! As a couple with high income seeking loans, our application is pre-approved and that brings us such relief. We’re looking forward to discussing opportunities that can further our financial ambitions and allow us to contribute more effectively to our community."""
0.0,,2.0,,1.0,0.0,1.0,164765.26496797774,Blank slate,365.8859494665898,0.0,0.0,,214488.11184120472,осн,дом,3.0,639.5083353403448,25-34,1.0,1,"""I'm Taylor, my loan was pre-approved, which was a relief. Despite a steady job, financial surprises do come. Sometimes it feels as if money slips through my fingers faster than I'd like to admit. I’m seeking advice on restructuring my finances for better stability and assurance."""
,м,3.0,0.0,1.0,0.0,0.0,,staggering,245.8859494665898,0.0,0.0,0.0,254488.11184120472,осн,дом,2.0,,45-54,,0,"""Hey! I’m just a regular guy trying to get by. Although my income is low, I’m determined to stay on top of my bills. I haven’t had any loans approved, but I’m here to discuss small financial options that can help ease my current circumstances."""
,ж,3.0,3.0,,0.0,,244765.2649679777,vast,245.8859494665898,0.0,,0.0,294488.1118412047,осн,дом,2.0,525.5083353403448,25-34,1.0,0,"""Hello! I'm a working professional with a stable job. I’m here to discuss my financial needs and explore loan options. I believe in planning for the future, and I’m confident in my ability to repay any loan I take. Looking forward to your guidance!"""
0.0,м,1.0,0.0,,0.0,0.0,394765.26496797777,usual,365.8859494665898,0.0,,0.0,,осн,дом,1.0,548.5083353403448,45-54,1.0,0,"""Hello! I’m a male client with a high income, looking to secure a loan for an exciting investment opportunity. I’m confident in my financial stability and eager to discuss how we can make this happen together."""
